Chapter,Jurisdiction,Iso,Document title,Year enacted,Years amended,Policy scope,CDR relevance,Broad method,Specific method,CDR value chain focus,Instrument category,Instrument type,Target year,Target amount,Target unit,Target type,Target binding,Policy link
State of CDR (Edition 3) - Policymaking and governance,United States,USA,The Long-Term Strategy of the United States: Pathways to Net-Zero Greenhouse Gas Emissions by 2050,2021,,Framework,U.S. LT-LEDS setting the pathway to net-zero by 2050 and explicitly including maintaining and enhancing land sinks alongside technological removals.,Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Peatland and coastal wetland restoration; Durable wood products; Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS)",Cross-cutting,Other,target,2050,0,net GHG emissions,Emissions,No,https://unfccc.int/sites/default/files/resource/US_accessibleLTS2021.pdf
State of CDR (Edition 3) - Policymaking and governance,United States,USA,Carbon Negative Shot (DOE Energy Earthshots),2021,2025,Framework,DOE initiative to drive durable carbon dioxide removal to less than $100/net tCO₂e and support gigaton-scale deployment by 2050.,Multiple,"Direct air capture with geological storage (DACCS); Bioenergy with carbon capture and storage (BECCS); Enhanced weathering; Direct ocean carbon capture and storage; Alkalinity enhancement of water bodies; Ocean fertilisation; Biomass sinking; Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands",Cross-cutting,Other,target,2030; 2050,100; gigaton-scale,USD/net tCO₂e; scale target,CDR,No,https://www.energy.gov/documents/strategy-carbon-negative-shot
State of CDR (Edition 3) - Policymaking and governance,United States,USA,Section 45Q Credit for Carbon Oxide Sequestration,2008,2018; 2022,Instrument,"Federal tax credit for secure geologic storage, utilization, DAC and BECCS, creating a major demand-pull incentive for engineered carbon management and removals.",Novel CDR; Enabling infrastructure,Direct air capture with geological storage (DACCS); Bioenergy with carbon capture and storage (BECCS); CO₂ geological storage,Demand,Economic instrument,tax_incentive,,,,,,https://www.irs.gov/credits-deductions/credit-for-carbon-oxide-sequestration
State of CDR (Edition 3) - Policymaking and governance,United States,USA,Energy Act of 2020 – CCUS and CDR provisions,2020,,Instrument,"Authorizes multi-year RD&D, pilot and demonstration activities for carbon capture, DAC, storage and utilization.",Novel CDR; Enabling infrastructure,Direct air capture with geological storage (DACCS); CO₂ geological storage; CO₂ transport; Utilization,Supply,Regulatory instrument,rd_d_funding,,,,,,https://www.govinfo.gov/content/pkg/PLAW-116publ260/html/PLAW-116publ260.htm
State of CDR (Edition 3) - Policymaking and governance,United States,USA,Infrastructure Investment and Jobs Act (IIJA) – carbon management,2021,,Instrument,"Major federal investment in DAC hubs, storage and transport infrastructure, CarbonSAFE-related work, and wider carbon management deployment.",Novel CDR; Enabling infrastructure,Direct air capture with geological storage (DACCS); CO₂ geological storage; CO₂ transport,Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://www.govinfo.gov/content/pkg/PLAW-117publ58/html/PLAW-117publ58.htm
State of CDR (Edition 3) - Policymaking and governance,United States,USA,SCALE Act core implementation via IIJA/CIFIA,2021,,Instrument,"Supports CO₂ transport and storage build-out through financing, storage support and permitting-related measures.",Novel CDR; Enabling infrastructure,CO₂ transport; CO₂ geological storage,Supply,Economic instrument,public_loan; capital_subsidy,,,,,,https://www.govinfo.gov/content/pkg/PLAW-117publ58/html/PLAW-117publ58.htm
State of CDR (Edition 3) - Policymaking and governance,United States,USA,Utilizing Significant Emissions with Innovative Technologies (USE IT) Act,2020,,Instrument,Supports CCUS and CO₂ transport development through permitting and coordination measures and authorizes related research and planning.,Novel CDR; Enabling infrastructure,Direct air capture with geological storage (DACCS); CO₂ transport; CO₂ geological storage,Supply,Regulatory instrument,regulatory_safeguard; rd_d_funding,,,,,,https://www.govinfo.gov/content/pkg/PLAW-116publ260/html/PLAW-116publ260.htm
State of CDR (Edition 3) - Policymaking and governance,United States,USA,Carbon Storage Assurance Facility Enterprise (CarbonSAFE) Initiative,2016,2021,Instrument,DOE/NETL initiative to develop commercial-scale geologic storage complexes and de-risk CO₂ storage infrastructure.,Novel CDR; Enabling infrastructure,CO₂ geological storage,Supply,Economic instrument,rd_d_funding; capital_subsidy,,,,,,https://www.netl.doe.gov/carbon-management/carbon-storage/carbonsafe
State of CDR (Edition 3) - Policymaking and governance,United States,USA,EPA Underground Injection Control – Class VI Well Regulations,2010,,Instrument,"Federal regulatory framework for geologic sequestration wells, including site characterization, monitoring, financial responsibility, closure and post-closure care.",Novel CDR; Enabling infrastructure,CO₂ geological storage,Cross-cutting,Regulatory instrument,regulatory_safeguard; mrv_standard,,,,,,https://www.epa.gov/uic/class-vi-wells-used-geologic-sequestration-carbon-dioxide
State of CDR (Edition 3) - Policymaking and governance,United States,USA,Farm Bill conservation programs – EQIP and CSP climate-smart practices,2018,2022,Instrument,"NRCS conservation programs that fund practices such as cover crops, reduced tillage, agroforestry, grazing management and tree planting that increase soil and biomass carbon.",Conventional CDR,"Soil carbon sequestration in croplands & grasslands; Agroforestry; Afforestation, reforestation, forest management",Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://www.nrcs.usda.gov/farmbill
State of CDR (Edition 3) - Policymaking and governance,United States,USA,USDA Agricultural Conservation Easement Program (ACEP),2014,2018; 2022,Instrument,"Protects, restores and enhances wetlands and protects working farms and ranches through conservation easements, supporting land-based carbon storage.",Conventional CDR,Peatland and coastal wetland restoration; Soil carbon sequestration in croplands & grasslands,Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://www.nrcs.usda.gov/programs-initiatives/agricultural-conservation-easement-program
State of CDR (Edition 3) - Policymaking and governance,United States,USA,Conservation Reserve Program,1985,2024,Instrument,"Pays landowners to convert environmentally sensitive land to long-term vegetative cover such as trees, grasses and wetlands, increasing carbon sequestration.",Conventional CDR,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Peatland and coastal wetland restoration",Supply,Economic instrument,operating_subsidy,,,,,,https://www.fsa.usda.gov/resources/programs/conservation-reserve-program
State of CDR (Edition 3) - Policymaking and governance,United States,USA,USDA Greenhouse Gas Technical Assistance Provider and Third-Party Verifier Program,2023,2025,Instrument,USDA program under the Growing Climate Solutions Act to support technical assistance and third-party verification for voluntary agricultural and forestry carbon markets.,Conventional CDR,"Soil carbon sequestration in croplands & grasslands; Afforestation, reforestation, forest management",Cross-cutting,Information instrument,mrv_standard; Other,,,,,,https://www.ams.usda.gov/rules-regulations/GCSA
State of CDR (Edition 3) - Policymaking and governance,United States,USA,"National Fish, Wildlife and Plants Climate Adaptation Strategy",2012,,Framework,"Promotes conservation, restoration and management of forests, grasslands, wetlands, rivers and coasts, supporting maintenance and enhancement of land-based carbon sinks.",Conventional CDR,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration; Soil carbon sequestration in croplands & grasslands; Agroforestry",Cross-cutting,Other,Other,,,,,,https://www.st.nmfs.noaa.gov/Assets/ecosystems/documents/NFWPCAS-Final.pdf
State of CDR (Edition 3) - Policymaking and governance,United States,USA,Plan to Conserve Global Forests,2021,,Framework,"Whole-of-government plan to conserve and restore global forests and other ecosystems as carbon sinks through finance, diplomacy and policy support.",Conventional CDR,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration; Durable wood products",Cross-cutting,Other,Other,,,,,,https://faolex.fao.org/docs/pdf/us210398.pdf
State of CDR (Edition 3) - Policymaking and governance,United States,USA,U.S. Ocean Climate Action Plan,2023,,Framework,National ocean-climate strategy that includes research and governance development for marine carbon dioxide removal approaches and ocean ecosystem restoration.,Novel CDR,Direct ocean carbon capture and storage; Alkalinity enhancement of water bodies; Ocean fertilisation; Biomass sinking,Cross-cutting,Other,Other,,,,,,https://bidenwhitehouse.archives.gov/wp-content/uploads/2023/03/Ocean-Climate-Action-Plan_Final.pdf
State of CDR (Edition 3) - Policymaking and governance,China,CHN,"China's Intended Nationally Determined Contribution (INDC, 2015)",2015,,Framework,"China's 2015 INDC commits to peak CO₂ emissions around 2030 and increase forest stock volume by 4.5 billion m³ above 2005 levels, making forest sinks a central mitigation pillar.",Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Regulatory instrument,target,2030,4.5 billion m³ above 2005,forest stock volume increase,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/China%27s%20INDC%20-%20on%2030%20June%202015.pdf
State of CDR (Edition 3) - Policymaking and governance,China,CHN,China's Updated Nationally Determined Contribution (2021),2021,,Framework,"China's 2021 updated NDC raises forest stock target to 6 billion m³ above 2005 levels by 2030 and reaffirms CO₂ peak before 2030, strengthening the land-based CDR commitment.",Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Regulatory instrument,target,2030,6 billion m³ above 2005,forest stock volume increase,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/%E4%B8%AD%E5%9B%BD%E8%90%BD%E5%AE%9E%E5%9B%BD%E5%AE%B6%E8%87%AA%E4%B8%BB%E8%B4%A1%E7%8C%AE%E6%88%90%E6%95%88%E5%92%8C%E6%96%B0%E7%9B%AE%E6%A0%87%E6%96%B0%E4%B8%BE%E6%8E%AA.pdf
State of CDR (Edition 3) - Policymaking and governance,China,CHN,China's 2035 Nationally Determined Contribution,2025,,Framework,"China's 2035 NDC commits to reduce economy-wide net GHG emissions to 7–10% below peak levels by 2035 and grow forest stock volume to over 24 billion m³, a major land-sink target.",Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Regulatory instrument,target,2035,7-10,% below peak emissions; forest stock >24 billion m³ by 2035,Emissions,No,https://unfccc.int/documents/497392
State of CDR (Edition 3) - Policymaking and governance,China,CHN,Action Plan for Carbon Dioxide Peaking Before 2030 [2030年前碳达峰行动方案],2021,,Framework,"Sets the pathway to peak CO₂ before 2030, including measures to expand forest and mangrove sinks and to speed up CCUS demonstration projects.",Multiple,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration; Bioenergy with carbon capture and storage (BECCS); CO₂ geological storage",Cross-cutting,Other,target; Other,2030,25% forest coverage; 19 billion m³ stock,% land area / m³,Emissions,No,https://en.ndrc.gov.cn/policies/202110/t20211027_1301020.html
State of CDR (Edition 3) - Policymaking and governance,China,CHN,"14th Five-Year National Reserve Forest Development Implementation Plan [""十四五""国家储备林建设实施方案]",2023,,Framework,"Expands national reserve forests to enhance long-term carbon storage via reforestation, forest tending and mixed-species plantations.",Conventional CDR,"Afforestation, reforestation, forest management",Supply,Other,target,2025,36 million mu (≈2.4 million ha) new reserve forests,ha new reserve forest,CDR,No,https://faolex.fao.org/docs/pdf/chn231038.pdf
State of CDR (Edition 3) - Policymaking and governance,China,CHN,"Outline of the 14th Five-Year Forestry and Grassland Protection and Development Plan [""十四五""林草保护发展规划纲要]",2021,,Framework,"Sets national goals for forest, grassland and wetland protection and restoration, increasing ecosystem carbon sinks through higher forest cover, stock and wetland protection rates.",Conventional CDR,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration; Soil carbon sequestration in croplands & grasslands",Cross-cutting,Other,target,2025,Forest 24.1%; stock 19 billion m³; wetland 55%,multiple targets,CDR,No,https://faolex.fao.org/docs/pdf/chn206160.pdf
State of CDR (Edition 3) - Policymaking and governance,China,CHN,Outline of the 14th Five-Year Plan for Economic and Social Development and Long-Range Objectives Through 2035 [中华人民共和国国民经济和社会发展第十四个五年规划和2035年远景目标纲要],2021,,Framework,"Top-level development plan including strengthening ecosystem carbon sinks, promoting green and low-carbon technologies, and advancing CCUS; provides overarching guidance for both land-based and technological CDR.",Multiple,Multiple,Cross-cutting,Other,Other,,,,,,https://en.ndrc.gov.cn/policies/202203/P020220315511326748336.pdf
State of CDR (Edition 3) - Policymaking and governance,China,CHN,National ETS – China Certified Emission Reduction (CCER) Scheme,2021,2024,Instrument,"National ETS allowing covered entities to use CCER offsets—including afforestation and mangrove projects—for up to 5% of verified emissions, creating compliance demand for land-based CDR.",Conventional CDR,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration",Demand,Regulatory instrument,compliance_market_integration; mrv_standard,,,,,,https://icapcarbonaction.com/en/ets/china-national-ets
State of CDR (Edition 3) - Policymaking and governance,China,CHN,Law of the People's Republic of China on Water and Soil Conservation [中华人民共和国水土保持法],1991,2010,Instrument,"Law requiring afforestation and vegetation restoration to prevent soil erosion, protecting and increasing land carbon stocks.",Conventional CDR,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands",Cross-cutting,Regulatory instrument,regulatory_safeguard,,,,,,https://english.mee.gov.cn/Resources/laws/envir_elatedlaws/202012/t20201204_811489.shtml
State of CDR (Edition 3) - Policymaking and governance,China,CHN,Grassland Law of the People's Republic of China [中华人民共和国草原法],1985,2002; 2009; 2013; 2021,Instrument,Legal framework for grassland protection and sustainable use; constrains degradation and supports long-term soil and biomass carbon on rangelands.,Conventional CDR,Soil carbon sequestration in croplands & grasslands,Cross-cutting,Regulatory instrument,regulatory_safeguard,,,,,,https://faolex.fao.org/docs/pdf/chn167104.pdf
State of CDR (Edition 3) - Policymaking and governance,China,CHN,Technical Guideline for Environmental Risk Assessment of CCUS Projects (Trial) [二氧化碳捕集、利用与封存环境风险评估技术导则（试行）],2016,,Instrument,Technical standard for assessing environmental risks of CCUS projects; enables permitting of geological storage and future BECCS/DACCS.,Novel CDR; Enabling infrastructure,Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS); CO₂ geological storage,Cross-cutting,Regulatory instrument,regulatory_safeguard; mrv_standard,,,,,,http://www.mee.gov.cn/gkml/hbb/bgt/201606/t20160624_356016.htm
State of CDR (Edition 3) - Policymaking and governance,China,CHN,Notice on Promoting CCUS Pilot Demonstration [国家发展改革委关于推动碳捕集、利用和封存示范工作的通知],2013,,Instrument,"National guidance and support for CCUS pilot and demonstration projects in the industrial sector, lowering barriers to early large-scale CCUS deployment.",Novel CDR; Enabling infrastructure,Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS); CO₂ geological storage,Supply,Economic instrument,rd_d_funding,,,,,,https://www.ndrc.gov.cn/xxgk/zcfb/tz/201305/t20130509_963892.html
State of CDR (Edition 3) - Policymaking and governance,China,CHN,Notice on Environmental Protection for CCUS Experimental Demonstration Projects [环境保护部关于CCUS试验示范项目环境保护工作的通知],2013,,Instrument,"Sets environmental protection and risk-control requirements for CCUS experimental and demonstration projects, enabling safe permitting.",Novel CDR; Enabling infrastructure,Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS); CO₂ geological storage,Cross-cutting,Regulatory instrument,regulatory_safeguard,,,,,,https://www.mee.gov.cn/gkml/hbb/bgt/201311/t20131104_262804.htm
State of CDR (Edition 3) - Policymaking and governance,China,CHN,National Key Low-Carbon Technologies Promotion Catalogue [国家重点推广的低碳技术目录（第一批）],2014,2015; 2017,Instrument,"Technology catalogue identifying priority low-carbon technologies—including CCUS and carbon-sink options—to be promoted nationwide, guiding investment and diffusion.",Multiple,"CO₂ geological storage; Afforestation, reforestation, forest management; Multiple",Supply,Information instrument,Other,,,,,,https://www.ndrc.gov.cn/xxgk/zcfb/gg/201409/t20140905_961102.html
State of CDR (Edition 3) - Policymaking and governance,China,CHN,Catalogue of Major Environmental Protection Technologies and Equipment (2011 Edition) [国家鼓励的重大环保技术装备目录（2011年版）],2011,,Instrument,Catalogue encouraging R&D and commercialization of environmental protection equipment including CO₂ capture technologies; superseded by newer editions.,Novel CDR; Enabling infrastructure,CO₂ geological storage,Supply,Information instrument,Other,,,,,,https://qzlx.people.com.cn/n/2013/1023/c366722-23303447.html
State of CDR (Edition 3) - Policymaking and governance,China,CHN,Regulations on Restoring Farmland to Forest [退耕还林条例],2002,2015,Instrument,"Regulatory and subsidy framework for farmland-to-forest conversion programmes, supporting afforestation and protection of new forests.",Conventional CDR,"Afforestation, reforestation, forest management",Supply,Economic instrument,capital_subsidy; regulatory_safeguard,,,,,,https://www.gov.cn/gongbao/content/2016/content_5139491.htm
State of CDR (Edition 3) - Policymaking and governance,China,CHN,Natural Forest Protection Program (NFPP) [天然林保护工程],1998,,Instrument,"Long-running programme restricting commercial logging and funding forest protection and restoration, increasing forest carbon stocks.",Conventional CDR,"Afforestation, reforestation, forest management",Supply,Economic instrument,capital_subsidy; operating_subsidy; regulatory_safeguard,,,,,,https://documents1.worldbank.org/curated/en/644411468769266652/pdf/multi0page.pdf
State of CDR (Edition 3) - Policymaking and governance,China,CHN,China National Biodiversity Conservation Strategy and Action Plan (2011–2030) [中国生物多样性保护战略与行动计划],2011,,Framework,"National biodiversity strategy strengthening protection and restoration of forests, wetlands and other ecosystems, indirectly enhancing carbon sinks.",Conventional CDR,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration",Cross-cutting,Other,Other,,,,,,https://www.cbd.int/doc/world/cn/cn-nbsap-v2-en.pdf
State of CDR (Edition 3) - Policymaking and governance,China,CHN,National Agricultural Sustainable Development Plan (2015–2030),2015,,Framework,Sectoral plan promoting sustainable agricultural practices; indirectly supports soil carbon and agro-ecological restoration.,Conventional CDR,Soil carbon sequestration in croplands & grasslands; Agroforestry,Cross-cutting,Other,Other,,,,,,http://www.chinaagtradefair.com/index.php?case=archive&act=show&aid=45
State of CDR (Edition 3) - Policymaking and governance,China,CHN,Implementation Plan for Agricultural and Rural Emission Reduction and Carbon Sequestration (2022–2030) [农业农村减排固碳实施方案],2022,,Framework,"Sets goals and actions to reduce agricultural emissions and enhance farmland soil carbon, with specific tasks on soil carbon sequestration.",Conventional CDR,Soil carbon sequestration in croplands & grasslands; Agroforestry,Supply,Other,Other; target,2030,Qualitative 2025 & 2030 goals,qualitative soil carbon targets,CDR,No,https://www.moa.gov.cn/govpublic/KJJYS/202206/t20220623_6403784.htm
State of CDR (Edition 3) - Policymaking and governance,China,CHN,National Wetland Conservation Plan (2022–2030) [全国湿地保护规划（2022—2030年）],2022,,Framework,"Sets national objectives for wetland protection and restoration, enhancing coastal and inland wetland carbon sinks.",Conventional CDR,Peatland and coastal wetland restoration,Cross-cutting,Other,target,2025,55,% wetland protection rate,CDR,No,https://english.www.gov.cn/statecouncil/ministries/202210/20/content_WS6350875dc6d0a757729e1728.html
State of CDR (Edition 3) - Policymaking and governance,China,CHN,Climate-smart Agriculture Technical Specification for Wheat–Rice Production (NY/T 4298-2023),2023,,Instrument,Technical standard promoting climate-smart wheat–rice systems with soil-carbon-enhancing practices and GHG measurement guidance.,Conventional CDR,Soil carbon sequestration in croplands & grasslands,Cross-cutting,Information instrument,mrv_standard,,,,,,http://www.reea.agri.cn/stgjhz/201912/P020191210367966718424.pdf
State of CDR (Edition 3) - Policymaking and governance,Germany,DEU,EU Nationally Determined Contribution – First NDC/INDC (2015) [Germany],2015,,Framework,"As an EU member state, Germany's climate commitments are anchored in the EU NDC, targeting at least 40% GHG reduction below 1990 by 2030; land-use sinks including German forests contribute to the EU-wide pathway.",Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030,40,% net GHG reduction vs 1990,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/LV-03-06-EU%20INDC.pdf
State of CDR (Edition 3) - Policymaking and governance,Germany,DEU,EU Updated Nationally Determined Contribution (2020) [Germany],2020,,Framework,EU Updated NDC raising ambition to at least 55% net GHG reduction below 1990 by 2030; includes strengthened LULUCF requirements with binding national forest/land targets for Germany.,Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030,55,% net GHG reduction vs 1990,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020.pdf
State of CDR (Edition 3) - Policymaking and governance,Germany,DEU,EU Nationally Determined Contribution – Resubmission (2023) [Germany],2023,,Framework,EU 2023 resubmission retaining the 55% target; Germany's LULUCF sector faces binding removal obligations under Regulation (EU) 2018/841 as amended.,Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030,55,% net GHG reduction vs 1990,Emissions,No,https://unfccc.int/sites/default/files/NDC/2023-06/EU%20NDC%202023%20-%20Resubmission.pdf
State of CDR (Edition 3) - Policymaking and governance,Germany,DEU,EU Nationally Determined Contribution 2035 [Germany],2025,,Framework,EU Second NDC targets 66.25–72.5% net GHG reduction below 1990 by 2035; strengthened land-sector targets and growing relevance of engineered CDR pathways for Germany's net-zero 2045 trajectory.,Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2035,66.25-72.5,% net GHG reduction vs 1990,Emissions,No,https://unfccc.int/sites/default/files/2025-11/DK-2025-11-05%20EU%20NDC.pdf
State of CDR (Edition 3) - Policymaking and governance,Germany,DEU,Federal Climate Action Act (Klimaschutzgesetz – KSG),2019,2024,Framework,"Economy-wide and sectoral GHG target framework with annual monitoring; sets binding national net-zero by 2045 and sectoral targets including LULUCF, providing the legal basis within which CDR policy operates.",Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030; 2040; 2045,-65%; -88%; 0,% vs 1990; climate neutrality,Emissions,Yes,https://www.gesetze-im-internet.de/ksg/
State of CDR (Edition 3) - Policymaking and governance,Germany,DEU,Long-Term Strategy on Negative Emissions – Key Points (BMWK Eckpunkte),2024,,Framework,"Key points for a long-term strategy governing CDR and negative emissions, including developing targets for technical sinks for 2035/2040/2045 in Germany.",Multiple,Multiple,Cross-cutting,Other,Other,2035; 2040; 2045,TBD,MtCO₂/year technical sinks (targets under development),CDR,No,https://www.bmwk.de/Redaktion/DE/Downloads/E/240226-eckpunkte-negativemissionen.pdf?__blob=publicationFile&v=4
State of CDR (Edition 3) - Policymaking and governance,Germany,DEU,Carbon Management Strategy – Key Points (BMWK Eckpunkte),2024,,Framework,Key points to establish CO₂ transport and storage infrastructure and governance for CCUS; enables BECCS/DACCS deployment pathways.,Novel CDR; Enabling infrastructure,CO₂ geological storage; CO₂ transport; Bioenergy with carbon capture and storage (BECCS),Cross-cutting,Other,Other,,,,,,https://www.bmwk.de/Redaktion/DE/Downloads/E/240226-eckpunkte-cms.pdf?__blob=publicationFile&v=4
State of CDR (Edition 3) - Policymaking and governance,Germany,DEU,Carbon Dioxide Storage Act (Kohlendioxidspeicherungsgesetz – KSpG),2012,2025,Instrument,"Lex specialis implementing EU CCS Directive; rules for permitting, monitoring, liability transfer, and third-party access to CO₂ storage; amended 2025 to expand beyond demonstration scope.",Novel CDR; Enabling infrastructure,CO₂ geological storage,Cross-cutting,Regulatory instrument,regulatory_safeguard; mrv_standard,,,,,,https://www.gesetze-im-internet.de/kspg/KSpG.pdf
State of CDR (Edition 3) - Policymaking and governance,Germany,DEU,High Seas Dumping Act (Hohe-See-Einbringungs-Gesetz),1998,2026,Instrument,Implements London Convention/Protocol; regulates marine dumping. Current regime permits marine CDR only for legitimate scientific research; 2026 amendment updates scope.,Novel CDR,Direct ocean carbon capture and storage; Alkalinity enhancement of water bodies; Ocean fertilisation; Biomass sinking,Cross-cutting,Regulatory instrument,regulatory_safeguard,,,,,,https://www.gesetze-im-internet.de/hoheseeeinbrg/HoheSeeEinbrG.pdf
State of CDR (Edition 3) - Policymaking and governance,Germany,DEU,Federal Nature Conservation Act (Bundesnaturschutzgesetz – BNatSchG),2009,,Instrument,Framework for nature protection and environmental safeguards; indirectly constrains siting/permitting for CDR projects and supports ecosystem carbon stocks.,Conventional CDR,Multiple,Cross-cutting,Regulatory instrument,regulatory_safeguard,,,,,,https://www.gesetze-im-internet.de/bnatschg_2009/
State of CDR (Edition 3) - Policymaking and governance,Germany,DEU,Federal Soil Protection Act & Ordinance (Bundes-Bodenschutzgesetz – BBodSchG / BBodSchV),1998,,Instrument,Baseline standards for soil health; enabling context for soil-carbon practices and biochar soil amendment; full title: Federal Soil Protection and Contaminated Sites Ordinance.,Conventional CDR,Soil carbon sequestration in croplands & grasslands; Biochar soil amendment,Cross-cutting,Regulatory instrument,regulatory_safeguard,,,,,,https://www.gesetze-im-internet.de/bbodschg/
State of CDR (Edition 3) - Policymaking and governance,Germany,DEU,Federal Action Plan on Nature-based Solutions (Aktionsprogramm Natürlicher Klimaschutz – ANK),2023,,Instrument,"Large federal grants for ecosystem restoration and carbon-stock enhancement: peatlands, wetlands, forests, soils and coastal pilots; primary demand-side instrument for conventional CDR.",Conventional CDR,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration; Soil carbon sequestration in croplands & grasslands",Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://www.bmuv.de/publikation/aktionsprogramm-natuerlicher-klimaschutz
State of CDR (Edition 3) - Policymaking and governance,Germany,DEU,National Peatland Protection Strategy (Nationale Moorschutzstrategie),2022,,Framework,National framework to restore and rewet peatlands and support climate-beneficial land management; CDR-relevant where measures increase net removals; typically paired with ANK funding.,Conventional CDR,Peatland and coastal wetland restoration,Supply,Other,Other,,,,,,https://www.bmuv.de/publikation/nationale-moorschutzstrategie
State of CDR (Edition 3) - Policymaking and governance,Germany,DEU,Germany CAP Strategic Plan (GAP-Strategieplan 2023–2027),2023,,Instrument,"National implementation of the EU CAP; funds interventions including afforestation, soil carbon, peatland/wetland restoration and agroforestry.",Conventional CDR,"Afforestation, reforestation, forest management; Agroforestry; Soil carbon sequestration in croplands & grasslands; Peatland and coastal wetland restoration",Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://agriculture.ec.europa.eu/cap-my-country/cap-strategic-plans/germany_en
State of CDR (Edition 3) - Policymaking and governance,Germany,DEU,Joint Task for Agricultural Structures and Coastal Protection (GAK),1969,2025,Instrument,"Long-standing national co-funding instrument for agriculture, forestry, rural development and coastal/flood protection; supports afforestation, peatland restoration and soil carbon.",Conventional CDR,"Afforestation, reforestation, forest management; Peatland and coastal wetland restoration; Soil carbon sequestration in croplands & grasslands",Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://www.bmleh.de/DE/themen/laendliche-regionen/foerderung-des-laendlichen-raumes/gemeinschaftsaufgabe-agrarstruktur-kuestenschutz/gemeinschaftsaufgabe-agrarstr-kuestenschutz_node.html
State of CDR (Edition 3) - Policymaking and governance,Germany,DEU,National Biomass Strategy – Key Points (Eckpunkte Nationale Biomassestrategie – NaBoS),2022,,Framework,Strategy to guide sustainable biomass production and use; indirectly relevant for CDR methods via safeguards and prioritisation of biomass use.,Conventional CDR; Novel CDR,"Bioenergy with carbon capture and storage (BECCS); Afforestation, reforestation, forest management",Cross-cutting,Other,Other,,,,,,https://www.bundesumweltministerium.de/download/eckpunkte-fuer-eine-nationale-biomassestrategie-nabis
State of CDR (Edition 3) - Policymaking and governance,Germany,DEU,Carbon Contracts for Difference for Industry – Round 1 (Klimaschutzverträge),2024,,Instrument,15-year CCfDs for deep industrial decarbonisation; primarily emissions-reduction focused; indirect CDR relevance for industrial CCUS applications.,Novel CDR; Enabling infrastructure,CO₂ geological storage,Demand,Economic instrument,public_procurement,,,,,,https://www.bundesanzeiger.de/pub/publication/rCvuhldJgZsc8PKz029/content/rCvuhldJgZsc8PKz029/BAnz%20AT%2030.08.2024%20B1.pdf?inline=
State of CDR (Edition 3) - Policymaking and governance,Germany,DEU,Carbon Contracts for Difference – Guideline (Förderrichtlinie Klimaschutzverträge),2024,,Instrument,"Administrative and legal basis for the Klimaschutzverträge CCfD programme; sets eligibility, auction rules and contract terms.",Novel CDR; Enabling infrastructure,CO₂ geological storage; Multiple,Demand,Economic instrument,public_procurement,,,,,,https://www.bundeswirtschaftsministerium.de/Redaktion/DE/Downloads/F/foerderrichtlinie-klimaschutzvertraege.pdf?__blob=publicationFile&v=4
State of CDR (Edition 3) - Policymaking and governance,Germany,DEU,"Carbon Contracts for Difference – Round 2 (2025 call, up to EUR 5bn)",2025,,Instrument,Second auction round for CCfDs; up to EUR 5bn; deep decarbonisation focus including industrial CCUS; target of 40 MtCO₂/year mitigation until 2045.,Novel CDR; Enabling infrastructure,CO₂ geological storage; Multiple,Demand,Economic instrument,public_procurement,2045,40,MtCO₂/year mitigation,CO₂ storage,No,https://www.klimaschutzvertraege.info/
